Area,Competition,Gender,Category,Season,Matches,Tagged
,Trofeo Beppe Viola-Città di Arco,Male,Senior,2016,2,50%
,,,,2017,10,0%
,,,,2018,27,0%
,,,,2019,24,0%
,Trofeo Manlio Scopigno,Male,Youth,2016,1,100%
,,,,2018,2,0%
Italy,Trofeo Manlio Scopigno,Male,Youth,2019,1,0%
,,,,2020,8,0%
,,,,2021,8,0%
,,,,2023,14,0%
,,,,2024,8,0%
,Trofeo Nereo Rocco,Male,Youth,2019,8,0%
,Trofeo Tim,Male,Senior,2016,3,0%
Jamaica,Premier League,Male,Senior,2015/2016,203,0%
,,,,2016/2017,206,0%
,,,,2017/2018,189,0%
,,,,2023/2024,192,45%
,,,,2024/2025,115,37%
Japan,Emperor Cup,Male,Senior,2015,87,0%
,,,,2016,87,0%
,,,,2017,87,0%
,J Youth Cup,Male,Senior,2015,7,0%
,,,,2016,7,0%
,,,,2017,7,0%
,J1 League,Male,Senior,2016,309,100%
,,,,2017,306,100%
,,,,2018,307,100%
,,,,2019,306,100%
,,,,2020,306,100%
,,,,2021,380,100%
,,,,2022,306,100%
,,,,2023,306,100%
,,,,2024,380,100%
,J2 League,Male,Senior,2016,465,84%
,,,,2017,465,100%
,,,,2018,464,100%
,,,,2019,465,100%
,,,,2020,462,100%
,,,,2021,462,100%
,,,,2022,465,100%
,,,,2023,465,100%
,,,,2024,383,100%
,J3 League,Male,Senior,2016,240,0%
,,,,2017,272,0%
,,,,2018,272,0%
,,,,2019,305,100%
,,,,2020,306,100%
,,,,2021,210,100%
,,,,2022,306,100%
,,,,2023,380,100%
,,,,2024,383,100%
,J-League Cup,Male,Senior,2016,55,89%
Japan,J-League Cup,Male,Senior,2017,59,100%
,,,,2018,69,100%
,,,,2019,69,100%
,,,,2020,28,100%
,,,,2021,69,100%
,,,,2022,69,100%
,,,,2023,73,100%
,,,,2024,70,100%
,Japan Football League,Male,Senior,2016,241,0%
,,,,2017,240,0%
,JUFA Kansai League,Male,Senior,2021,156,0%
,JUFA Kanto League 1,Male,Senior,2021,117,0%
,JUFA Kanto League 2,Male,Senior,2021,123,0%
,Nadeshiko League 1,Female,Senior,2016,90,0%
,,,,2017,90,0%
,,,,2018,83,0%
,,,,2021,132,0%
,,,,2022,132,0%
,,,,2023,132,100%
,,,,2024,129,0%
,Nadeshiko League 2,Female,Senior,2016,90,0%
,,,,2017,90,0%
,,,,2021,43,0%
,,,,2022,90,0%
,,,,2023,90,0%
,Nadeshiko League Cup 1,Female,Senior,2016,43,0%
,,,,2017,43,0%
,Nadeshiko League Cup 2,Female,Senior,2016,43,0%
,,,,2017,41,0%
,New Year Cup,Male,Senior,2017,15,0%
,Play-offs 1/2,Male,Senior,2019,1,0%
,,,,2022,1,100%
,Play-offs 2/3,Male,Senior,2015,2,100%
,,,,2016,2,100%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,100%
,,,,2018,1,0%
,,,,2019,1,100%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,100%
,,,,2023,1,100%
,,,,2024,1,100%
,WE League,Female,Senior,2021/2022,110,100%
,,,,2022/2023,110,100%
,,,,2023/2024,132,100%
Japan,WE League,Female,Senior,2024/2025,66,100%
,WE League Cup,Female,Senior,2023/2024,31,100%
,,,,2024/2025,33,100%
,Women's Play-offs 1/2,Female,Senior,2015,2,0%
,,,,2016,1,0%
,,,,2017,1,0%
Jordan,1st Division,Male,Senior,2015/2016,91,0%
,,,,2017,91,0%
,,,,2018,2,0%
,Cup,Male,Senior,2015/2016,31,0%
,,,,2016/2017,35,0%
,,,,2017/2018,12,0%
,Jordan League Youth U16,Male,Youth,2022/2023,20,100%
,Jordan League Youth U19,Male,Youth,2022/2023,17,100%
,Pro League,Male,Senior,2015/2016,132,0%
,,,,2016/2017,132,0%
,,,,2017/2018,120,0%
,,,,2018/2019,132,0%
,,,,2019/2020,126,0%
,,,,2020/2021,132,0%
,,,,2022,132,0%
,,,,2023/2024,132,96%
,,,,2024/2025,65,100%
,Shield Cup,Male,Senior,2016/2017,33,0%
,,,,2017/2018,21,0%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2017/2018,1,0%
,,,,2018/2019,1,0%
Kazakhstan,1. Division,Male,Senior,2016,132,0%
,,,,2017,108,0%
,,,,2023,210,99%
,,,,2024,215,97%
,2. Division,Male,Senior,2023,200,85%
,,,,2024,250,86%
,Cup,Male,Senior,2016,26,4%
,,,,2017,24,71%
,,,,2018,32,38%
,,,,2019,35,40%
,,,,2021,73,78%
,,,,2022,55,98%
,,,,2023,55,96%
,,,,2024,41,85%
,Freedom QJ League U17,Male,Youth,2024,187,100%
,Freedom QJ League U18,Male,Youth,2023,132,100%
,,,,2024,132,99%
Kazakhstan,Play-offs 1/2,Male,Senior,2015,1,0%
,,,,2016,1,100%
,,,,2017,1,100%
,,,,2018,2,0%
,,,,2019,2,0%
,Premier League,Male,Senior,2016,192,86%
,,,,2017,198,95%
,,,,2018,198,97%
,,,,2019,198,99%
,,,,2020,110,100%
,,,,2021,182,93%
,,,,2022,182,100%
,,,,2023,182,100%
,,,,2024,156,100%
,Reserve League,Male,Senior,2017/2018,2,0%
,Super Cup,Male,Senior,2016,1,100%
,,,,2017,1,100%
,,,,2018,1,0%
,,,,2019,1,100%
,,,,2020,1,100%
,,,,2021,4,100%
,,,,2022,1,100%
,,,,2023,1,100%
,,,,2024,1,100%
,Women's Football Champi..,Female,Senior,2017,40,0%
Kenya,Premier League,Male,Senior,2016,240,0%
,,,,2017,304,0%
,,,,2018,51,0%
,,,,2018/2019,303,0%
,,,,2019/2020,200,0%
,Shield Cup,Male,Senior,2017,52,0%
,Super Cup,Male,Senior,2016,1,0%
,,,,2018,1,0%
,,,,2018/2019,1,0%
,,,,2019/2020,1,0%
,Super League,Male,Senior,2017,329,0%
Korea Republic,FA Cup,Male,Senior,2016,83,11%
,,,,2017,86,15%
,,,,2018,43,0%
,,,,2019,54,0%
,,,,2020,48,56%
,,,,2021,43,84%
,,,,2022,44,36%
,,,,2023,57,0%
,,,,2024,60,0%
,K League 1,Male,Senior,2016,228,85%
Korea Republic,K League 1,Male,Senior,2017,228,100%
,,,,2018,230,100%
,,,,2019,228,100%
,,,,2020,162,99%
,,,,2021,228,100%
,,,,2022,228,100%
,,,,2023,228,100%
,,,,2024,228,100%
,K League 2,Male,Senior,2016,222,47%
,,,,2017,182,99%
,,,,2018,182,100%
,,,,2019,182,100%
,,,,2020,137,99%
,,,,2021,182,99%
,,,,2022,222,100%
,,,,2023,236,100%
,,,,2024,236,100%
,K3 League,Male,Senior,2016,198,0%
,,,,2017,137,0%
,,,,2020,180,98%
,,,,2021,214,98%
,,,,2022,240,97%
,,,,2023,211,92%
,,,,2024,240,92%
,K4 League,Male,Senior,2020,156,42%
,,,,2021,240,92%
,,,,2022,267,78%
,,,,2023,256,95%
,,,,2024,156,81%
,National League,Male,Senior,2016,139,0%
,,,,2017,116,0%
,Play-offs 1/2,Male,Senior,2015,2,0%
,,,,2016,2,0%
,,,,2017,2,0%
,,,,2019,2,0%
,,,,2021,2,100%
,,,,2022,4,100%
,,,,2023,4,100%
,,,,2024,4,100%
,Play-Offs 3/4,Male,Senior,2020,1,0%
,,,,2022,1,0%
,,,,2023,1,0%
,,,,2024,1,0%
,WK-League,Female,Senior,2016,87,0%
,,,,2017,115,0%
,,,,2018,35,0%
Korea Republic,WK-League,Female,Senior,2019,32,0%
Kosovo,Cup,Male,Senior,2015/2016,5,0%
,,,,2016/2017,10,0%
,,,,2017/2018,4,0%
,,,,2018/2019,5,0%
,,,,2019/2020,5,0%
,,,,2020/2021,2,50%
,,,,2021/2022,9,0%
,,,,2022/2023,4,0%
,Liga e Femrave,Female,Senior,2016/2017,90,0%
,,,,2017/2018,72,0%
,Play-Offs 1/2,Male,Senior,2021/2022,1,0%
,,,,2022/2023,1,100%
,,,,2023/2024,1,0%
,Super Cup,Male,Senior,2016/2017,1,0%
,,,,2017/2018,1,0%
,,,,2018/2019,1,0%
,,,,2020/2021,1,0%
,,,,2021/2022,1,0%
,,,,2022/2023,1,0%
,,,,2023/2024,1,0%
,Superliga,Male,Senior,2015/2016,198,0%
,,,,2016/2017,198,0%
,,,,2017/2018,181,0%
,,,,2018/2019,187,0%
,,,,2019/2020,198,0%
,,,,2020/2021,180,35%
,,,,2021/2022,180,97%
,,,,2022/2023,180,99%
,,,,2023/2024,180,86%
Kuwait,Crown Prince Cup,Male,Senior,2015/2016,14,0%
,,,,2016/2017,52,0%
,,,,2017/2018,21,0%
,,,,2018/2019,14,0%
,,,,2019/2020,15,0%
,,,,2020/2021,15,0%
,,,,2021/2022,14,0%
,,,,2022/2023,14,7%
,,,,2023/2024,6,0%
,Division 1,Male,Senior,2017/2018,21,0%
,Emir Cup,Male,Senior,2015/2016,14,0%
,,,,2017,52,0%
,,,,2018,12,0%
,,,,2019,14,0%
,,,,2020,15,0%
,,,,2021,14,0%
Kuwait,Emir Cup,Male,Senior,2022,14,0%
,,,,2023,7,100%
,,,,2024,7,0%
,Federation Cup,Male,Senior,2015/2016,47,0%
,,,,2017,18,0%
,Premier League,Male,Senior,2015/2016,156,0%
,,,,2016/2017,210,0%
,,,,2017/2018,84,0%
,,,,2018/2019,88,0%
,,,,2019/2020,90,0%
,,,,2020/2021,194,0%
,,,,2021/2022,90,0%
,,,,2022/2023,132,51%
,,,,2023/2024,89,0%
,,,,2024/2025,43,0%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2017/2018,1,0%
,,,,2018/2019,1,0%
,,,,2019/2020,1,0%
,,,,2020/2021,1,0%
,,,,2021/2022,1,0%
,,,,2022/2023,1,0%
,,,,2023/2024,3,0%
Kyrgyzstan,Shoro Premier League,Male,Senior,2016,63,0%
,,,,2017,60,0%
,,,,2018,111,42%
,,,,2019,110,94%
,,,,2020,57,93%
,,,,2021,112,90%
,,,,2022,135,88%
,,,,2023,135,96%
,,,,2024,135,93%
,Super Cup,Male,Senior,2019,1,100%
,,,,2021,1,0%
,,,,2022,1,100%
,,,,2023,1,0%
,,,,2024,1,0%
Laos,Lao League,Male,Senior,2016,182,0%
,,,,2017,56,0%
,,,,2019,3,100%
Latvia,1. Liga,Male,Senior,2016,210,0%
,,,,2017,132,0%
,,,,2018,119,0%
,,,,2019,134,0%
,,,,2020,55,0%
Latvia,1. Liga,Male,Senior,2021,68,0%
,,,,2022,181,0%
,,,,2023,181,69%
,,,,2024,182,31%
,Cup,Male,Senior,2015/2016,42,0%
,,,,2016/2017,47,15%
,,,,2017,44,27%
,,,,2018,15,53%
,,,,2019,15,93%
,,,,2020,15,53%
,,,,2021,14,93%
,,,,2022,15,87%
,,,,2023,15,80%
,,,,2024,15,100%
,Play-offs 1/2,Male,Senior,2015,2,0%
,,,,2016,2,0%
,,,,2017,2,50%
,,,,2018,2,100%
,,,,2019,2,100%
,,,,2022,2,100%
,,,,2023,2,100%
,,,,2024,2,100%
,Super Cup,Male,Senior,2024,1,100%
,Virsliga,Male,Senior,2016,112,38%
,,,,2017,85,94%
,,,,2018,112,93%
,,,,2019,144,95%
,,,,2020,135,95%
,,,,2021,104,92%
,,,,2022,180,99%
,,,,2023,180,100%
,,,,2024,180,99%
,Virsliga Cup,Male,Senior,2018,12,8%
,Women League,Female,Senior,2016,30,0%
,,,,2017,24,0%
,,,,2023,83,47%
,,,,2024,83,63%
Lebanon,Cup,Male,Senior,2015/2016,15,0%
,,,,2016/2017,15,0%
,Elite Cup,Male,Senior,2015/2016,9,0%
,,,,2016/2017,9,0%
,,,,2017/2018,9,0%
,Premier League,Male,Senior,2015/2016,132,0%
,,,,2016/2017,132,0%
,,,,2017/2018,66,24%
,Super Cup,Male,Senior,2015/2016,1,0%
Lebanon,Super Cup,Male,Senior,2016/2017,1,0%
,,,,2017/2018,1,0%
Lesotho,Lesotho Premier League,Male,Senior,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,73,0%
Liberia,LFA First Division,Male,Senior,2014/2015,47,0%
,,,,2016,91,0%
,,,,2024/2025,10,0%
,Orange Second Division,Male,Senior,2023/2024,30,0%
Libya,Premier League,Male,Senior,2016,112,0%
,,,,2017,87,0%
Liechtenstein,FL1 Active Cup,Male,Senior,2015/2016,16,0%
,,,,2016/2017,15,0%
,,,,2017/2018,12,0%
Lithuania,1 Lyga,Male,Senior,2016,240,0%
,,,,2017,210,0%
,,,,2018,148,0%
,,,,2019,219,0%
,,,,2020,134,0%
,,,,2021,183,0%
,,,,2022,240,0%
,,,,2023,234,98%
,,,,2024,240,100%
,A Lyga,Male,Senior,2016,127,41%
,,,,2017,127,98%
,,,,2018,127,99%
,,,,2019,126,88%
,,,,2020,60,98%
,,,,2021,180,100%
,,,,2022,180,99%
,,,,2023,180,100%
,,,,2024,180,99%
,A Lyga Women,Female,Senior,2016,60,0%
,,,,2017,60,0%
,Cup,Male,Senior,2015/2016,53,0%
,,,,2016,55,0%
,,,,2017,43,14%
,,,,2018,16,69%
,,,,2019,31,45%
,,,,2020,15,80%
,,,,2021,15,93%
,,,,2022,31,77%
,,,,2023,31,97%
,,,,2024,31,100%
,Play-offs 1/2,Male,Senior,2016,2,50%
,,,,2017,2,100%
Lithuania,Play-offs 1/2,Male,Senior,2018,2,0%
,,,,2019,2,0%
,,,,2022,2,0%
,,,,2023,2,100%
,,,,2024,2,100%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,100%
,,,,2018,1,100%
,,,,2019,1,100%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,100%
,,,,2023,1,0%
,,,,2024,1,0%
Luxembourg,1. Division,Male,Senior,2015/2016,364,0%
,,,,2016/2017,364,0%
,,,,2017/2018,282,0%
,Cup,Male,Senior,2015/2016,103,0%
,,,,2016/2017,99,0%
,,,,2017/2018,85,1%
,Ligue 1 Women,Female,Senior,2015/2016,132,0%
,,,,2016/2017,132,0%
,,,,2017/2018,80,0%
,National Division,Male,Senior,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,140,0%
,,,,2020/2021,240,10%
,,,,2021/2022,240,9%
,,,,2022/2023,240,97%
,,,,2023/2024,240,98%
,,,,2024/2025,119,77%
,Play-offs 1/2,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,Play-offs 2/3,Male,Senior,2015/2016,1,0%
,,,,2016/2017,2,0%
,Promotion d'Honneur,Male,Senior,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,146,0%
,Women's Cup,Female,Senior,2015/2016,32,0%
,,,,2016/2017,33,0%
,,,,2017/2018,17,0%
Macao,Primeira Divisão,Male,Senior,2016,90,0%
,,,,2017,90,0%
Madagascar,Ligue des Champions,Male,Senior,2015,86,0%
,,,,2016,91,0%
,,,,2017,96,0%
Malawi,Super League,Male,Senior,2016,240,0%
,,,,2017,225,0%
Malaysia,FA Cup,Male,Senior,2016,40,0%
,,,,2017,40,3%
,,,,2022,17,100%
,,,,2023,19,100%
,,,,2024,21,100%
,FAM League,Male,Senior,2016,142,0%
,,,,2017,112,0%
,,,,2018,4,0%
,Malaysia Cup,Male,Senior,2015,63,0%
,,,,2016,61,0%
,,,,2017,61,0%
,,,,2021,58,98%
,,,,2022,29,100%
,,,,2023,29,100%
,,,,2024/2025,24,100%
,MFL Cup,Male,Senior,2023,127,99%
,,,,2024,114,0%
,Play-offs 1/2,Male,Senior,2016,1,0%
,Premier League,Male,Senior,2016,132,0%
,,,,2017,129,0%
,Super League,Male,Senior,2016,132,0%
,,,,2017,132,4%
,,,,2020,66,62%
,,,,2021,132,100%
,,,,2022,132,100%
,,,,2023,182,100%
,,,,2024/2025,107,98%
Maldives,Dhivehi Premier League,Male,Senior,2016,84,0%
,,,,2017,111,0%
Mali,Première Division,Male,Senior,2015/2016,174,0%
,,,,2017,185,0%
Malta,Challenge League,Male,Senior,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,164,0%
,,,,2020/2021,159,92%
,,,,2021/2022,221,0%
,,,,2022/2023,249,96%
,,,,2023/2024,196,97%
,,,,2024/2025,88,99%
,FA Trophy,Male,Senior,2015/2016,63,0%
,,,,2016/2017,64,0%
,,,,2017/2018,55,0%
,,,,2023/2024,41,100%
,,,,2024/2025,23,100%
Malta,First Division Women,Female,Senior,2015/2016,60,0%
,,,,2016/2017,60,0%
,,,,2017/2018,31,0%
,Gozo First Division,Male,Senior,2015/2016,63,0%
,,,,2016/2017,84,0%
,,,,2017/2018,37,0%
,Play-offs 1/2,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2022/2023,1,100%
,Premier League,Male,Senior,2015/2016,198,1%
,,,,2016/2017,198,0%
,,,,2017/2018,165,0%
,,,,2019/2020,140,98%
,,,,2020/2021,184,94%
,,,,2021/2022,162,98%
,,,,2022/2023,183,92%
,,,,2023/2024,182,100%
,,,,2024/2025,102,100%
,Second Division,Male,Senior,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,135,0%
,Second Division Women,Female,Senior,2015/2016,63,0%
,,,,2016/2017,40,0%
,Summer Cup,Male,Senior,2015,15,0%
,,,,2016,11,0%
,,,,2017,15,0%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2023/2024,1,100%
,,,,2024/2025,1,100%
,Women's Play-offs 1/2,Female,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
Martinique,Division d'Honneur,Male,Senior,2015/2016,182,0%
,,,,2016/2017,182,0%
,,,,2017/2018,107,0%
Mauritania,Premier League,Male,Senior,2015/2016,156,0%
,,,,2016/2017,182,0%
,,,,2017/2018,70,0%
Mauritius,Mauritian League,Male,Senior,2015/2016,176,0%
,,,,2016/2017,180,0%
,,,,2017/2018,30,0%
Mexico,Campeón de Campeones,Male,Senior,2014/2015,1,0%
,,,,2015/2016,1,100%
,,,,2016/2017,1,100%
,,,,2018,1,100%
,,,,2019,1,100%
Mexico,Campeón de Campeones,Male,Senior,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,Copa MX,Male,Senior,2015/2016,170,9%
,,,,2016/2017,132,94%
,,,,2017/2018,138,100%
,,,,2018/2019,138,100%
,,,,2019/2020,84,96%
,Copa por México,Male,Senior,2020,15,100%
,,,,2022,21,95%
,Liga de Expansión MX,Male,Senior,2015/2016,266,56%
,,,,2016/2017,336,84%
,,,,2017/2018,270,99%
,,,,2018/2019,238,99%
,,,,2019/2020,151,100%
,,,,2020/2021,276,99%
,,,,2021/2022,310,100%
,,,,2022/2023,344,100%
,,,,2023/2024,246,100%
,,,,2024/2025,126,98%
,Liga MX,Male,Senior,2015/2016,334,99%
,,,,2016/2017,334,100%
,,,,2017/2018,334,100%
,,,,2018/2019,334,100%
,,,,2019/2020,275,100%
,,,,2020/2021,342,100%
,,,,2021/2022,342,100%
,,,,2022/2023,342,100%
,,,,2023/2024,340,100%
,,,,2024/2025,178,100%
,Liga MX Femenil,Female,Senior,2017,2,0%
,,,,2018,316,97%
,,,,2019/2020,268,95%
,,,,2020/2021,334,91%
,,,,2021/2022,334,93%
,,,,2022/2023,334,99%
,,,,2023/2024,334,99%
,,,,2024/2025,190,98%
",Liga Premier Serie A,Male,Senior,2015/2016,""1,055"",0%"
",,,,2016/2017,""1,065"",0%"
,,,,2017/2018,638,0%
,,,,2022/2023,372,72%
,,,,2023/2024,612,64%
,Liga Premier Serie B,Male,Senior,2022/2023,130,57%
,,,,2023-2024,214,60%
Mexico,Liga Premier Serie B,Male,Senior,2024/2025,77,0%
,Supercopa MX,Male,Senior,2015,1,0%
,,,,2016,1,100%
,,,,2017,1,100%
,,,,2018,1,100%
,,,,2019,1,100%
,Torneo del Sol,Male,Youth,2022,15,80%
,Tournament International..,Male,Youth,2019,29,0%
,U15 League,Male,Youth,2018/2019,294,87%
,,,,2019/2020,258,80%
,U16 League,Male,Youth,2021/2022,304,65%
,,,,2022/2023,303,51%
,,,,2023/2024,304,68%
,U17 League,Male,Youth,2015/2016,334,0%
,,,,2016/2017,334,0%
,,,,2017/2018,318,0%
,,,,2018/2019,334,88%
,,,,2019/2020,275,87%
,,,,2020/2021,333,77%
,,,,2024/2025,140,89%
,U18 League,Male,Youth,2021/2022,334,73%
,,,,2022/2023,334,64%
,,,,2023/2024,334,74%
,U19 League,Male,Youth,2024/2025,173,82%
,U20 League,Male,Youth,2015/2016,334,0%
,,,,2016/2017,334,0%
,,,,2017/2018,318,0%
,,,,2018/2019,334,88%
,,,,2019/2020,275,87%
,,,,2020/2021,333,76%
,,,,2021/2022,334,64%
,,,,2022/2023,334,60%
,U23 League,Male,Youth,2023/2024,334,81%
,,,,2024/2025,175,89%
Moldova,Campionatul Moldovei,Female,Senior,2016/2017,63,0%
,,,,2017/2018,36,0%
,,,,2022/2023,45,11%
,,,,2023/2024,40,0%
,,,,2024/2025,24,0%
,Cupa FMF U16,Male,Youth,2022/2023,5,0%
,Cupa Moldovei,Male,Senior,2015/2016,46,0%
,,,,2016/2017,50,14%
,,,,2017/2018,48,8%
,,,,2018/2019,37,0%
,,,,2019/2020,37,0%
,,,,2020/2021,23,0%
Moldova,Cupa Moldovei,Male,Senior,2021/2022,23,0%
,,,,2022/2023,21,38%
,,,,2023/2024,21,95%
,Cupa Moldovei Feminin,Female,Senior,2022/2023,4,0%
,Divizia B,Male,Senior,2015/2016,202,0%
,,,,2016/2017,364,0%
,,,,2017,252,0%
,Liga 1,Male,Senior,2015/2016,182,0%
,,,,2016/2017,210,0%
,,,,2017,114,0%
,Liga Tineret U19,Male,Youth,2022/2023,135,30%
,,,,2023/2024,120,83%
,Play-offs 1/2,Male,Senior,2022/2023,39,97%
,,,,2023/2024,39,95%
,Super Liga,Male,Senior,2015/2016,136,0%
,,,,2016/2017,166,80%
,,,,2017,90,97%
,,,,2018,112,98%
,,,,2019,112,97%
,,,,2020/2021,178,96%
,,,,2021/2022,106,97%
,,,,2022/2023,86,100%
,,,,2023/2024,86,100%
,,,,2024/2025,55,100%
,Supercupa Moldovei,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2019,1,100%
,,,,2021/2022,1,100%
,U15 League,Male,Youth,2022/2023,112,33%
,,,,2023/2024,101,75%
,U16 League,Male,Youth,2022/2023,112,33%
,,,,2023/2024,98,76%
,U17 League,Male,Youth,2022/2023,112,32%
,,,,2023/2024,101,71%
,Viitorul Tournament,Male,Youth,2021,25,0%
,,,,2022,25,0%
,,,,2023,28,43%
,,,,2024,20,40%
Mongolia,Premier League,Male,Senior,2016,90,0%
,,,,2017,90,0%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,0%
,,,,2018,1,0%
Montenegro,Cup,Male,Senior,2015/2016,42,0%
,,,,2016/2017,43,16%
,,,,2017/2018,41,44%
Montenegro,Cup,Male,Senior,2018/2019,38,0%
,,,,2019/2020,33,79%
,,,,2020/2021,17,88%
,,,,2021/2022,17,41%
,,,,2022/2023,17,88%
,,,,2023/2024,17,94%
,,,,2024/2025,10,90%
,First League,Male,Senior,2015/2016,198,0%
,,,,2016/2017,198,73%
,,,,2017/2018,180,98%
,,,,2018/2019,180,94%
,,,,2019/2020,155,97%
,,,,2020/2021,180,99%
,,,,2021/2022,180,98%
,,,,2022/2023,180,97%
,,,,2023/2024,180,99%
,,,,2024/2025,95,66%
,Play-Offs 1/2,Male,Senior,2014/2015,4,0%
,,,,2015/2016,4,0%
,,,,2016/2017,4,0%
,,,,2017/2018,4,0%
,,,,2018/2019,4,0%
,,,,2019/2020,4,0%
,,,,2020/2021,4,50%
,,,,2021/2022,4,0%
,,,,2022/2023,4,100%
,,,,2023/2024,4,0%
,Second League,Male,Senior,2015/2016,165,0%
,,,,2016/2017,165,0%
,,,,2017/2018,174,0%
,,,,2018/2019,171,0%
,,,,2019/2020,150,93%
,,,,2020/2021,180,98%
,,,,2021/2022,180,96%
,,,,2022/2023,163,90%
,,,,2023/2024,180,94%
,,,,2024/2025,76,55%
Morocco,Botola 2,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,123,0%
,Botola Pro,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,240,99%
,,,,2018/2019,240,100%
,,,,2019/2020,240,100%
,,,,2020/2021,240,100%
Morocco,Botola Pro,Male,Senior,2021/2022,240,100%
,,,,2022/2023,240,99%
,,,,2023/2024,240,100%
,,,,2024/2025,138,97%
,Cup,Male,Senior,2015/2016,61,0%
,,,,2016,61,0%
,,,,2017,61,0%
,,,,2018,26,0%
,,,,2019,31,0%
,,,,2020/2021,31,0%
,,,,2021/2022,31,0%
,,,,2022/2023,31,42%
,,,,2023/2024,31,71%
Mozambique,Moçambola,Male,Senior,2016,240,0%
,,,,2017,240,0%
Myanmar,National League,Male,Senior,2016,132,0%
,,,,2017,132,0%
N/C America,Campeones Cup,Male,Senior,2018,1,0%
,,,,2019,1,0%
,,,,2021,1,0%
,,,,2022,1,100%
,,,,2023,1,0%
,,,,2024,1,0%
,Caribbean Club Championship,Male,Senior,2016,22,0%
,,,,2017,38,0%
,,,,2018,32,0%
,,,,2019,6,0%
,,,,2020,6,0%
,,,,2021,18,0%
,,,,2022,10,0%
,,,,2023,28,0%
,,,,2024,28,0%
,Caribbean Cup,Male,Senior,2017 USA,54,0%
,Central American Games,Male,Youth,2017,9,0%
,CONCACAF Central American Cup,Male,Senior,2023,58,98%
,,,,2024,58,100%
,CONCACAF Champions Cup,Male,Senior,2015/2016,62,26%
,,,,2016/2017,62,94%
,,,,2018,30,100%
,,,,2019,30,100%
,,,,2020,26,100%
,,,,2021,29,100%
,,,,2022,28,100%
,,,,2023,30,100%
,,,,2024,51,100%
,CONCACAF Confederation..,Male,Senior,2017 Russia,1,0%
N/C America,CONCACAF Gold Cup,Male,Senior,2015 USA/Canada,26,0%
,,,,2017 USA,25,100%
,,,,2019 USA/Costa Rica/Jam..,31,100%
,,,,2021,31,100%
,,,,2023 USA,31,100%
,CONCACAF Gold Cup Qualification,Male,Senior,2017,2,50%
,,,,2021,9,89%
,,,,2023,9,100%
,CONCACAF League,Male,Senior,2017,30,100%
,,,,2018,30,100%
,,,,2019,42,86%
,,,,2020,22,100%
,,,,2021,37,100%
,,,,2022,42,100%
",""CONCACAF Nations League"
"- League A"",Male,Senior,2019/2020,28,100%"
,,,,2022/2023,28,86%
,,,,2023/2024,38,100%
,,,,2024/2025,32,100%
",""CONCACAF Nations League"
"- League B"",Male,Senior,2019/2020,48,98%"
,,,,2022/2023,48,98%
,,,,2023/2024,47,100%
,,,,2024/2025,48,100%
",""CONCACAF Nations League"
"- League C"",Male,Senior,2019/2020,30,100%"
,,,,2022/2023,30,100%
,,,,2023/2024,18,100%
,,,,2024/2025,18,100%
,CONCACAF Nations Leagu..,Male,NULL,2024/2025,8,0%
,Concacaf Nations League ..,Male,Senior,2018/2019,67,18%
,CONCACAF U15,Male,Youth,2017,3,0%
,,,,2019,4,0%
,CONCACAF U17,Male,Youth,2017,87,30%
,,,,2019,39,100%
,,,,2023,39,100%
,CONCACAF U20,Male,Youth,2017 Costa Rica,75,33%
,,,,2018 USA,87,95%
,,,,2020,28,0%
,,,,2022 Honduras,39,97%
,,,,2024 Mexico,25,100%
",""CONCACAF U20"
"Qualification"",Male,Youth,2022,32,0%"
,,,,2024,48,13%
,CONCACAF W Champions ..,Female,Senior,2024/2025,21,100%
,CONCACAF W Gold Cup,Female,Senior,2024,25,100%
,CONCACAF Women's U17,Female,Youth,2016 Grenada,59,0%
,,,,2018,53,0%
,,,,2022 Dominican Republic,40,0%
,,,,2024 Mexico,16,100%
